 PPID   PID COMM
    0     1 /sbin/launchd
    1   107 /usr/libexec/logd
    1   108 /usr/libexec/UserEventAgent
    1   111 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    1   112 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    1   113 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    1   116 /usr/sbin/systemstats
    1   118 /usr/libexec/configd
    1   119 endpointsecurityd
    1   120 /System/Library/CoreServices/powerd.bundle/powerd
    1   124 /usr/libexec/remoted
    1   126 /usr/libexec/keybagd
    1   127 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
    1   129 /usr/libexec/watchdogd
    1   133 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    1   134 /System/Library/CoreServices/iconservicesd
    1   135 /usr/libexec/kernelmanagerd
    1   136 /usr/libexec/diskarbitrationd
    1   139 /usr/libexec/coreduetd
    1   140 /usr/sbin/syslogd
    1   143 /usr/libexec/thermalmonitord
    1   144 /usr/libexec/opendirectoryd
    1   145 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    1   146 /Library/PrivilegedHelperTools/com.docker.vmnetd
    1   147 /System/Library/CoreServices/launchservicesd
    1   148 /usr/libexec/timed
    1   149 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
    1   150 /usr/sbin/securityd
    1   156 autofsd
    1   157 /usr/libexec/displaypolicyd
    1   158 /usr/libexec/dasd
    1   159 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
    1   161 /usr/sbin/distnoted
    1   162 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
    1   163 /usr/libexec/PerfPowerServices
    1   165 /System/Library/CoreServices/logind
    1   166 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    1   167 /usr/sbin/KernelEventAgent
    1   169 /usr/sbin/bluetoothd
    1   170 /usr/sbin/notifyd
    1   171 /usr/libexec/sandboxd
    1   172 /usr/libexec/corebrightnessd
    1   173 /usr/libexec/AirPlayXPCHelper
    1   174 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
    1   175 /usr/sbin/cfprefsd
    1   176 /usr/libexec/amfid
    1   177 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
    1   178 /usr/libexec/syspolicyd
    1   179 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
    1   180 aslmanager
    1   181 /usr/libexec/trustd
    1   183 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
    1   188 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    1   198 /System/Library/CoreServices/coreservicesd
    1   202 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    1   205 /usr/libexec/runningboardd
    1   208 /usr/sbin/distnoted
    1   212 /usr/libexec/airportd
    1   216 /usr/sbin/coreaudiod
    1   223 /usr/sbin/mDNSResponder
    1   232 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
    1   254 /usr/libexec/containermanagerd
    1   255 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
    1   256 /usr/libexec/apfsd
    1   258 /usr/libexec/nehelper
    1   259 /usr/libexec/nsurlsessiond
    1   260 /usr/libexec/lsd
    1   263 /usr/libexec/usbd
    1   264 /usr/libexec/diskmanagementd
    1   265 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    1   269 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
    1   281 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
    1   291 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    1   293 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper
    1   294 /usr/libexec/PowerUIAgent
    1   295 /usr/libexec/logd_helper
    1   296 /usr/libexec/symptomsd
    1   297 /usr/libexec/mobileassetd
    1   298 /usr/sbin/mDNSResponderHelper
    1   299 /usr/libexec/findmydeviced
    1   301 /usr/sbin/distnoted
    1   302 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
    1   305 Core Audio Driver (TVRemoteAudio.driver)
    1   306 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
    1   307 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
    1   308 /usr/sbin/distnoted
    1   309 /usr/libexec/secinitd
    1   311 /usr/sbin/cfprefsd
    1   312 /usr/libexec/trustd
    1   313 /usr/libexec/containermanagerd
    1   314 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    1   315 /usr/libexec/searchpartyd
    1   316 /usr/libexec/ApplicationFirewall/socketfilterfw
    1   318 /usr/sbin/distnoted
    1   319 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
    1   320 /System/Library/CoreServices/ReportCrash
    1   324 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
    1   325 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    1   326 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    1   333 /usr/sbin/cron
    1   334 /usr/sbin/distnoted
    1   335 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    1   342 /usr/sbin/distnoted
    1   344 /usr/libexec/thermald
    1   346 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
    1   347 /usr/sbin/distnoted
    1   348 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
    1   349 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
    1   350 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
    1   351 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
    1   354 /usr/sbin/distnoted
    1   365 /usr/libexec/nfcd
    1   366 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
    1   367 /usr/sbin/BlueTool
    1   368 /usr/libexec/hidd
    1   369 /usr/sbin/distnoted
    1   371 /usr/libexec/secinitd
    1   372 /usr/libexec/locationd
    1   379 /usr/libexec/wifianalyticsd
    1   383 /usr/libexec/colorsync.displayservices
    1   384 /usr/libexec/colorsyncd
    1   385 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
    1   386 /System/Library/CoreServices/appleeventsd
    1   388 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    1   389 /usr/libexec/bootinstalld
    1   391 /usr/libexec/captiveagent
    1   392 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    1   395 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
    1   397 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
    1   398 /usr/libexec/symptomsd-diag
    1   399 /usr/libexec/sysmond
    1   403 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    1   405 /usr/sbin/distnoted
    1   406 /usr/sbin/cfprefsd
    1   407 /usr/libexec/securityd_service
    1   408 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
    1   409 /usr/libexec/UserEventAgent
    1   410 /usr/libexec/gamecontrollerd
    1   412 /usr/sbin/universalaccessd
    1   413 /usr/libexec/knowledge-agent
    1   414 /System/Library/CoreServices/talagent
    1   415 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
    1   416 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
    1   417 /usr/libexec/lsd
    1   418 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
    1   419 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
    1   422 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
    1   423 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
    1   424 /usr/libexec/secd
    1   425 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
    1   426 /usr/libexec/trustd
    1   427 /usr/libexec/pboard
    1   429 /System/Library/CoreServices/backgroundtaskmanagementagent
    1   430 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
    1   431 /usr/libexec/pkd
    1   432 /usr/libexec/secinitd
    1   433 /usr/sbin/filecoordinationd
    1   434 /usr/sbin/usernoted
    1   435 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
    1   436 /System/Library/CoreServices/sharedfilelistd
